area;rate
Berg am Laim;4,6
Schwanthalerhšhe;4,1
Altstadt-Lehel;2,3
Allach-Untermenzing;3,3
Hadern;3,5
Au-Haidhausen;2,9
Obermenzing;3,5
Neuhausen;3,1
Ludwigsvorstadt-Isarvorstadt;3,5
Maxvorstadt;2,7
Schwabing-Schwabing West;2,8
Moosach;4,8
Trudering-Riem;3,2
Laim;3,8
Milbertshofen-Am Hart;5,0
Nymphenburg;3,1
Feldmoching-Hasenbergl;4,7
Aubing-Lochhausen-Langwied;3,7
Bogenhausen;2,8
Sendling-Westpark;4,4
Ramersdorf-Perlach;4,8
Solln;3,4
Pasing;3,5
Harlaching;3,8
Giesing;3,8
Freimann;3,2
Thalkirchen, Obersendling;3,4
Forstenried - FŸrstenried;3,4